Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
43890,AZ,Azerbaijan,EURO,3,3,0,0
43891,AZ,Azerbaijan,EURO,0,3,0,0
43892,AZ,Azerbaijan,EURO,0,3,0,0
43893,AZ,Azerbaijan,EURO,0,3,0,0
43894,AZ,Azerbaijan,EURO,0,3,0,0
43895,AZ,Azerbaijan,EURO,0,3,0,0
43896,AZ,Azerbaijan,EURO,6,9,0,0
43897,AZ,Azerbaijan,EURO,0,9,0,0
43898,AZ,Azerbaijan,EURO,0,9,0,0
43899,AZ,Azerbaijan,EURO,0,9,0,0
43900,AZ,Azerbaijan,EURO,0,9,0,0
43901,AZ,Azerbaijan,EURO,0,9,0,0
43902,AZ,Azerbaijan,EURO,2,11,0,0
43903,AZ,Azerbaijan,EURO,0,11,0,0
43904,AZ,Azerbaijan,EURO,8,19,0,0
43905,AZ,Azerbaijan,EURO,2,21,0,0
43906,AZ,Azerbaijan,EURO,0,21,0,0
43907,AZ,Azerbaijan,EURO,0,21,0,0
43908,AZ,Azerbaijan,EURO,13,34,1,1
43909,AZ,Azerbaijan,EURO,0,34,0,1
43910,AZ,Azerbaijan,EURO,10,44,0,1
43911,AZ,Azerbaijan,EURO,9,53,0,1
43912,AZ,Azerbaijan,EURO,0,53,0,1
43913,AZ,Azerbaijan,EURO,12,65,0,1
43914,AZ,Azerbaijan,EURO,7,72,0,1
43915,AZ,Azerbaijan,EURO,15,87,0,1
43916,AZ,Azerbaijan,EURO,6,93,1,2
43917,AZ,Azerbaijan,EURO,29,122,1,3
43918,AZ,Azerbaijan,EURO,25,147,0,3
43919,AZ,Azerbaijan,EURO,17,164,1,4
43920,AZ,Azerbaijan,EURO,26,190,0,4
43921,AZ,Azerbaijan,EURO,83,273,0,4
43922,AZ,Azerbaijan,EURO,25,298,1,5
43923,AZ,Azerbaijan,EURO,61,359,0,5
43924,AZ,Azerbaijan,EURO,41,400,0,5
43925,AZ,Azerbaijan,EURO,43,443,0,5
43926,AZ,Azerbaijan,EURO,69,512,0,5
43927,AZ,Azerbaijan,EURO,72,584,0,5
43928,AZ,Azerbaijan,EURO,57,641,2,7
43929,AZ,Azerbaijan,EURO,76,717,1,8
43930,AZ,Azerbaijan,EURO,105,822,0,8
43931,AZ,Azerbaijan,EURO,104,926,1,9
43932,AZ,Azerbaijan,EURO,65,991,1,10
43933,AZ,Azerbaijan,EURO,67,1058,1,11
43934,AZ,Azerbaijan,EURO,40,1098,0,11
43935,AZ,Azerbaijan,EURO,50,1148,1,12
43936,AZ,Azerbaijan,EURO,49,1197,1,13
43937,AZ,Azerbaijan,EURO,56,1253,0,13
43938,AZ,Azerbaijan,EURO,30,1283,2,15
43939,AZ,Azerbaijan,EURO,57,1340,0,15
43940,AZ,Azerbaijan,EURO,33,1373,3,18
43941,AZ,Azerbaijan,EURO,25,1398,1,19
43942,AZ,Azerbaijan,EURO,38,1436,0,19
43943,AZ,Azerbaijan,EURO,44,1480,1,20
43944,AZ,Azerbaijan,EURO,38,1518,0,20
43945,AZ,Azerbaijan,EURO,30,1548,0,20
43946,AZ,Azerbaijan,EURO,44,1592,1,21
43947,AZ,Azerbaijan,EURO,25,1617,0,21
43948,AZ,Azerbaijan,EURO,28,1645,0,21
43949,AZ,Azerbaijan,EURO,33,1678,1,22
43950,AZ,Azerbaijan,EURO,39,1717,0,22
43951,AZ,Azerbaijan,EURO,49,1766,1,23
43952,AZ,Azerbaijan,EURO,38,1804,1,24
43953,AZ,Azerbaijan,EURO,50,1854,1,25
43954,AZ,Azerbaijan,EURO,40,1894,0,25
43955,AZ,Azerbaijan,EURO,38,1932,0,25
43956,AZ,Azerbaijan,EURO,52,1984,1,26
43957,AZ,Azerbaijan,EURO,76,2060,0,26
43958,AZ,Azerbaijan,EURO,67,2127,2,28
43959,AZ,Azerbaijan,EURO,77,2204,0,28
43960,AZ,Azerbaijan,EURO,75,2279,0,28
43961,AZ,Azerbaijan,EURO,143,2422,3,31
43962,AZ,Azerbaijan,EURO,97,2519,1,32
43963,AZ,Azerbaijan,EURO,70,2589,0,32
43964,AZ,Azerbaijan,EURO,104,2693,1,33
43965,AZ,Azerbaijan,EURO,65,2758,2,35
43966,AZ,Azerbaijan,EURO,121,2879,0,35
43967,AZ,Azerbaijan,EURO,101,2980,1,36
43968,AZ,Azerbaijan,EURO,158,3138,0,36
43969,AZ,Azerbaijan,EURO,136,3274,3,39
43970,AZ,Azerbaijan,EURO,113,3387,1,40
43971,AZ,Azerbaijan,EURO,131,3518,1,41
43972,AZ,Azerbaijan,EURO,113,3631,2,43
43973,AZ,Azerbaijan,EURO,118,3749,1,44
43974,AZ,Azerbaijan,EURO,106,3855,2,46
43975,AZ,Azerbaijan,EURO,127,3982,3,49
43976,AZ,Azerbaijan,EURO,140,4122,0,49
43977,AZ,Azerbaijan,EURO,149,4271,2,51
43978,AZ,Azerbaijan,EURO,132,4403,1,52
43979,AZ,Azerbaijan,EURO,165,4568,2,54
43980,AZ,Azerbaijan,EURO,191,4759,2,56
43981,AZ,Azerbaijan,EURO,230,4989,2,58
43982,AZ,Azerbaijan,EURO,257,5246,3,61
43983,AZ,Azerbaijan,EURO,248,5494,2,63
43984,AZ,Azerbaijan,EURO,168,5662,5,68
43985,AZ,Azerbaijan,EURO,273,5935,3,71
43986,AZ,Azerbaijan,EURO,325,6260,5,76
43987,AZ,Azerbaijan,EURO,262,6522,2,78
43988,AZ,Azerbaijan,EURO,338,6860,4,82
43989,AZ,Azerbaijan,EURO,379,7239,2,84
43990,AZ,Azerbaijan,EURO,314,7553,4,88
43991,AZ,Azerbaijan,EURO,323,7876,5,93
43992,AZ,Azerbaijan,EURO,315,8191,5,98
43993,AZ,Azerbaijan,EURO,339,8530,4,102
43994,AZ,Azerbaijan,EURO,352,8882,6,108
43995,AZ,Azerbaijan,EURO,336,9218,5,113
43996,AZ,Azerbaijan,EURO,352,9570,2,115
43997,AZ,Azerbaijan,EURO,387,9957,4,119
43998,AZ,Azerbaijan,EURO,367,10324,3,122
43999,AZ,Azerbaijan,EURO,338,10662,4,126
44000,AZ,Azerbaijan,EURO,329,10991,7,133
44001,AZ,Azerbaijan,EURO,338,11329,6,139
44002,AZ,Azerbaijan,EURO,438,11767,4,143
44003,AZ,Azerbaijan,EURO,471,12238,5,148
44004,AZ,Azerbaijan,EURO,491,12729,6,154
44005,AZ,Azerbaijan,EURO,478,13207,7,161
44006,AZ,Azerbaijan,EURO,508,13715,6,167
44007,AZ,Azerbaijan,EURO,590,14305,7,174
44008,AZ,Azerbaijan,EURO,547,14852,6,180
44009,AZ,Azerbaijan,EURO,517,15369,7,187
44010,AZ,Azerbaijan,EURO,521,15890,6,193
44011,AZ,Azerbaijan,EURO,534,16424,5,198
44012,AZ,Azerbaijan,EURO,544,16968,8,206
44013,AZ,Azerbaijan,EURO,556,17524,7,213
44014,AZ,Azerbaijan,EURO,588,18112,7,220
44015,AZ,Azerbaijan,EURO,572,18684,8,228
44016,AZ,Azerbaijan,EURO,583,19267,7,235
44017,AZ,Azerbaijan,EURO,534,19801,6,241
44018,AZ,Azerbaijan,EURO,523,20324,9,250
44019,AZ,Azerbaijan,EURO,513,20837,8,258
44020,AZ,Azerbaijan,EURO,537,21374,7,265
44021,AZ,Azerbaijan,EURO,542,21916,9,274
44022,AZ,Azerbaijan,EURO,548,22464,10,284
44023,AZ,Azerbaijan,EURO,526,22990,8,292
44024,AZ,Azerbaijan,EURO,531,23521,6,298
44025,AZ,Azerbaijan,EURO,520,24041,8,306
44026,AZ,Azerbaijan,EURO,529,24570,7,313
44027,AZ,Azerbaijan,EURO,543,25113,6,319
44028,AZ,Azerbaijan,EURO,559,25672,7,326
